,Gene,Wells
46,MMSYN1_0115,pSHPs0807B412039MU-A1
228,MMSYN1_0511,pSHPs0807B412039MU-A10
87,MMSYN1_0215,pSHPs0807B412039MU-A11
310,MMSYN1_0693,pSHPs0807B412039MU-A12
41,MMSYN1_0107,pSHPs0807B412039MU-A2
66,MMSYN1_0148,pSHPs0807B412039MU-A3
222,MMSYN1_0494,pSHPs0807B412039MU-A4
312,MMSYN1_0696,pSHPs0807B412039MU-A5
242,MMSYN1_0530,pSHPs0807B412039MU-A6
219,MMSYN1_0481,pSHPs0807B412039MU-A7
389,MMSYN1_0907,pSHPs0807B412039MU-A8
111,MMSYN1_0281,pSHPs0807B412039MU-A9
363,MMSYN1_0833,pSHPs0807B412039MU-B1
143,MMSYN1_0346,pSHPs0807B412039MU-B10
190,MMSYN1_0421,pSHPs0807B412039MU-B11
76,MMSYN1_0168,"pSHPs0807B412039MU-B12,pSHPs0807B412039MU-C12"
202,MMSYN1_0435,pSHPs0807B412039MU-B2
103,MMSYN1_0253,pSHPs0807B412039MU-B3
56,MMSYN1_0138,"pSHPs0807B412039MU-B5,pSHPs0807B412039MU-C5"
167,MMSYN1_0389,"pSHPs0807B412039MU-B6,pSHPs0807B412039MU-C6"
18,MMSYN1_0039,"pSHPs0807B412039MU-B7,pSHPs0807B412039MU-C7"
21,MMSYN1_0043,pSHPs0807B412039MU-B8
212,MMSYN1_0447,pSHPs0807B412039MU-B9
23,MMSYN1_0045,pSHPs0807B412039MU-C1
113,MMSYN1_0283,pSHPs0807B412039MU-C10
186,MMSYN1_0416,pSHPs0807B412039MU-C11
369,MMSYN1_0839,pSHPs0807B412039MU-C2
304,MMSYN1_0686,pSHPs0807B412039MU-C3
313,MMSYN1_0697,pSHPs0807B412039MU-C4
115,MMSYN1_0286,pSHPs0807B412039MU-C8
74,MMSYN1_0166,pSHPs0807B412039MU-C9
8,MMSYN1_0008,pSHPs0807B412039MU-D1
368,MMSYN1_0838,pSHPs0807B412039MU-D10
200,MMSYN1_0433,pSHPs0807B412039MU-D11
32,MMSYN1_0066,pSHPs0807B412039MU-D12
385,MMSYN1_0885,"pSHPs0807B412039MU-D2,pSHPs0807B412039MU-E2"
62,MMSYN1_0144,pSHPs0807B412039MU-D3
134,MMSYN1_0326,pSHPs0807B412039MU-D4
135,MMSYN1_0327,pSHPs0807B412039MU-D5
39,MMSYN1_0097,pSHPs0807B412039MU-D6
42,MMSYN1_0108,pSHPs0807B412039MU-D7
225,MMSYN1_0503,pSHPs0807B412039MU-D8
33,MMSYN1_0077,pSHPs0807B412039MU-D9
374,MMSYN1_0859,"pSHPs0807B412039MU-E1,pSHPs0807B412039MU-F1"
351,MMSYN1_0817,pSHPs0807B412039MU-E10
373,MMSYN1_0853,pSHPs0807B412039MU-E11
125,MMSYN1_0302,pSHPs0807B412039MU-E12
261,MMSYN1_0614,pSHPs0807B412039MU-E3
206,MMSYN1_0440,"pSHPs0807B412039MU-E4,pSHPs0807B412039MU-F4"
166,MMSYN1_0388,pSHPs0807B412039MU-E5
388,MMSYN1_0906,pSHPs0807B412039MU-E6
109,MMSYN1_0264,pSHPs0807B412039MU-E7
146,MMSYN1_0352,pSHPs0807B412039MU-E8
330,MMSYN1_0777,pSHPs0807B412039MU-E9
75,MMSYN1_0167,pSHPs0807B412039MU-F11
227,MMSYN1_0505,pSHPs0807B412039MU-F12
90,MMSYN1_0220,pSHPs0807B412039MU-F2
301,MMSYN1_0672,pSHPs0807B412039MU-F3
156,MMSYN1_0372,"pSHPs0807B412039MU-F5,pSHPs0807B412039MU-G5"
121,MMSYN1_0296,pSHPs0807B412039MU-F6
26,MMSYN1_0054,pSHPs0807B412039MU-F7
123,MMSYN1_0298,pSHPs0807B412039MU-F8
57,MMSYN1_0139,pSHPs0807B412039MU-F9
110,MMSYN1_0270,pSHPs0807B412039MU-G1
155,MMSYN1_0371,"pSHPs0807B412039MU-G10,pSHPs0807B412039MU-H10"
20,MMSYN1_0042,pSHPs0807B412039MU-G11
54,MMSYN1_0132,pSHPs0807B412039MU-G12
238,MMSYN1_0525,pSHPs0807B412039MU-G2
345,MMSYN1_0806,pSHPs0807B412039MU-G3
140,MMSYN1_0338,pSHPs0807B412039MU-G4
72,MMSYN1_0164,pSHPs0807B412039MU-G7
181,MMSYN1_0409,pSHPs0807B412039MU-G8
267,MMSYN1_0632,pSHPs0807B412039MU-G9
326,MMSYN1_0772,pSHPs0807B412039MU-H1
384,MMSYN1_0881,pSHPs0807B412039MU-H11
174,MMSYN1_0401,"pSHPs0807B412039MU-H12,pSHPs0807B412040MU-A1"
391,MMSYN1_0909,pSHPs0807B412039MU-H2
70,MMSYN1_0154,pSHPs0807B412039MU-H3
29,MMSYN1_0063,pSHPs0807B412039MU-H4
43,MMSYN1_0109,pSHPs0807B412039MU-H5
130,MMSYN1_0314,pSHPs0807B412039MU-H6
78,MMSYN1_0197,pSHPs0807B412039MU-H7
204,MMSYN1_0438,pSHPs0807B412039MU-H8
139,MMSYN1_0332,pSHPs0807B412039MU-H9
197,MMSYN1_0430,pSHPs0807B412040MU-A2
147,MMSYN1_0353,pSHPs0807B412040MU-A3
158,MMSYN1_0375,pSHPs0807B412040MU-A4
321,MMSYN1_0730,pSHPs0807B412040MU-A5
92,MMSYN1_0222,"pSHPs0807B412040MU-A6,pSHPs0826B426850MU-H2"
239,MMSYN1_0526_link_MMSYN1_0499,pSHPs0807B412040MU-A7
372,MMSYN1_0852_link_MMSYN1_0778,pSHPs0807B412040MU-A8
173,MMSYN1_0400,pSHPs0807B412040MU-B1
180,MMSYN1_0408,pSHPs0807B412040MU-B2
37,MMSYN1_0094,pSHPs0807B412040MU-B3
159,MMSYN1_0376,pSHPs0807B412040MU-B4
27,MMSYN1_0060,pSHPs0807B412040MU-B5
205,MMSYN1_0439,"pSHPs0807B412040MU-B6,pSHPs0826B426850MU-A3"
290,MMSYN1_0658_link_MMSYN1_0137,pSHPs0807B412040MU-B7
0,ColE1-Gen-2,pSHPs0807B412040MU-B8
381,MMSYN1_0877,pSHPs0807B412040MU-C1
102,MMSYN1_0250,pSHPs0807B412040MU-C2
272,MMSYN1_0640,pSHPs0807B412040MU-C3
365,MMSYN1_0835,pSHPs0807B412040MU-C4
14,MMSYN1_0029,pSHPs0807B412040MU-C5
207,MMSYN1_0441,pSHPs0807B412040MU-C6
80,MMSYN1_0199_link_MMSYN1_0362,pSHPs0807B412040MU-C7
393,MspIM,pSHPs0807B412040MU-C8
47,MMSYN1_0116,pSHPs0807B412040MU-D1
5,MMSYN1_0005,pSHPs0807B412040MU-D2
189,MMSYN1_0420,pSHPs0807B412040MU-D5
283,MMSYN1_0651,pSHPs0807B412040MU-D6
191,MMSYN1_0422_link_MMSYN1_0350,pSHPs0807B412040MU-D7
77,MMSYN1_0196,pSHPs0807B412040MU-E1
164,MMSYN1_0382,pSHPs0807B412040MU-E2
319,MMSYN1_0728,pSHPs0807B412040MU-E3
210,MMSYN1_0444,"pSHPs0807B412040MU-E5,pSHPs0807B412040MU-F5"
293,MMSYN1_0661,pSHPs0807B412040MU-E6
377,MMSYN1_0873_link_MMSYN1_0694,pSHPs0807B412040MU-E7
262,MMSYN1_0615,pSHPs0807B412040MU-F1
198,MMSYN1_0431,pSHPs0807B412040MU-F2
203,MMSYN1_0437,pSHPs0807B412040MU-F3
192,MMSYN1_0424,pSHPs0807B412040MU-F4
355,MMSYN1_0822,pSHPs0807B412040MU-F6
40,MMSYN1_0105_link_MMSYN1_0667,pSHPs0807B412040MU-F7
223,MMSYN1_0495,pSHPs0807B412040MU-G1
265,MMSYN1_0620,pSHPs0807B412040MU-G2
63,MMSYN1_0145,pSHPs0807B412040MU-G3
133,MMSYN1_0325,pSHPs0807B412040MU-G4
58,MMSYN1_0140,pSHPs0807B412040MU-G5
280,MMSYN1_0648_link_MMSYN1_0689,pSHPs0807B412040MU-G6
35,MMSYN1_0080_link_MMSYN1_0500,pSHPs0807B412040MU-G7
226,MMSYN1_0504,pSHPs0807B412040MU-H1
73,MMSYN1_0165,pSHPs0807B412040MU-H2
142,MMSYN1_0345,pSHPs0807B412040MU-H3
170,MMSYN1_0392,pSHPs0807B412040MU-H4
64,MMSYN1_0146,pSHPs0807B412040MU-H5
252,MMSYN1_0599_link_MMSYN1_0669,pSHPs0807B412040MU-H6
11,MMSYN1_0025_link_MMSYN1_0662,pSHPs0807B412040MU-H7
45,MMSYN1_0114,pSHPs0826B426849MU-A1
382,MMSYN1_0878,pSHPs0826B426849MU-A10
360,MMSYN1_0827,pSHPs0826B426849MU-A12
341,MMSYN1_0799,pSHPs0826B426849MU-A2
216,MMSYN1_0453,"pSHPs0826B426849MU-A3,pSHPs0826B426849MU-B3"
303,MMSYN1_0685,pSHPs0826B426849MU-A4
30,MMSYN1_0064,pSHPs0826B426849MU-A5
169,MMSYN1_0391,pSHPs0826B426849MU-A7
88,MMSYN1_0216,pSHPs0826B426849MU-A9
160,MMSYN1_0377,pSHPs0826B426849MU-B1
61,MMSYN1_0143,pSHPs0826B426849MU-B10
214,MMSYN1_0451,pSHPs0826B426849MU-B12
120,MMSYN1_0291,pSHPs0826B426849MU-B2
359,MMSYN1_0826,pSHPs0826B426849MU-B4
1,MMSYN1_0001,pSHPs0826B426849MU-B6
230,MMSYN1_0513,pSHPs0826B426849MU-B7
112,MMSYN1_0282,pSHPs0826B426849MU-B8
19,MMSYN1_0040,pSHPs0826B426849MU-B9
308,MMSYN1_0691,"pSHPs0826B426849MU-C10,pSHPs0807B412039MU-G6"
99,MMSYN1_0239,"pSHPs0826B426849MU-C11,pSHPs0826B426849MU-D11"
17,MMSYN1_0034,"pSHPs0826B426849MU-C12,pSHPs0826B426849MU-D12,pSHPs0826B426849MU-E12,pSHPs0807B412039MU-F10"
305,MMSYN1_0687,pSHPs0826B426849MU-C2
201,MMSYN1_0434,pSHPs0826B426849MU-C3
275,MMSYN1_0643,pSHPs0826B426849MU-C4
126,MMSYN1_0303,"pSHPs0826B426849MU-C5,pSHPs0826B426849MU-D5,pSHPs0826B426849MU-E5"
306,MMSYN1_0688,pSHPs0826B426849MU-C8
148,MMSYN1_0359,pSHPs0826B426849MU-C9
259,MMSYN1_0611,"pSHPs0826B426849MU-D1,pSHPs0826B426849MU-E1"
51,MMSYN1_0128,pSHPs0826B426849MU-D2
52,MMSYN1_0129,pSHPs0826B426849MU-D3
38,MMSYN1_0095,"pSHPs0826B426849MU-D4,pSHPs0826B426849MU-E4"
211,MMSYN1_0445,pSHPs0826B426849MU-D6
28,MMSYN1_0061,pSHPs0826B426849MU-D9
182,MMSYN1_0410,pSHPs0826B426849MU-E11
116,MMSYN1_0287,pSHPs0826B426849MU-E2
104,MMSYN1_0257,pSHPs0826B426849MU-E3
334,MMSYN1_0792,pSHPs0826B426849MU-E6
117,MMSYN1_0288,pSHPs0826B426849MU-E7
357,MMSYN1_0824,"pSHPs0826B426849MU-E8,pSHPs0826B426849MU-F8"
183,MMSYN1_0411,pSHPs0826B426849MU-E9
240,MMSYN1_0528,"pSHPs0826B426849MU-F1,pSHPs0826B426849MU-G1"
376,MMSYN1_0872,pSHPs0826B426849MU-F10
243,MMSYN1_0531,"pSHPs0826B426849MU-F11,pSHPs0826B426849MU-G11,pSHPs0826B426849MU-H11"
316,MMSYN1_0710,pSHPs0826B426849MU-F12
49,MMSYN1_0126,pSHPs0826B426849MU-F2
274,MMSYN1_0642,pSHPs0826B426849MU-F3
352,MMSYN1_0818,pSHPs0826B426849MU-F4
65,MMSYN1_0147,pSHPs0826B426849MU-F6
331,MMSYN1_0787,"pSHPs0826B426849MU-F7,pSHPs0826B426849MU-G7"
55,MMSYN1_0133,"pSHPs0826B426849MU-F9,pSHPs0807B412039MU-B4"
232,MMSYN1_0516,pSHPs0826B426849MU-G10
128,MMSYN1_0305,pSHPs0826B426849MU-G12
236,MMSYN1_0523,pSHPs0826B426849MU-G2
362,MMSYN1_0832,pSHPs0826B426849MU-G3
127,MMSYN1_0304,pSHPs0826B426849MU-G4
323,MMSYN1_0733,pSHPs0826B426849MU-G5
367,MMSYN1_0837,pSHPs0826B426849MU-G6
10,MMSYN1_0011,pSHPs0826B426849MU-G8
380,MMSYN1_0876,pSHPs0826B426849MU-G9
141,MMSYN1_0344,pSHPs0826B426849MU-H1
218,MMSYN1_0479,pSHPs0826B426849MU-H10
16,MMSYN1_0033,"pSHPs0826B426849MU-H12,pSHPs0826B426850MU-A1"
258,MMSYN1_0609,pSHPs0826B426849MU-H2
248,MMSYN1_0541,pSHPs0826B426849MU-H3
291,MMSYN1_0659,pSHPs0826B426849MU-H4
328,MMSYN1_0775,"pSHPs0826B426849MU-H5,pSHPs0826B426849MU-A6"
89,MMSYN1_0218,pSHPs0826B426849MU-H6
288,MMSYN1_0656,pSHPs0826B426849MU-H7
320,MMSYN1_0729,pSHPs0826B426849MU-H8
50,MMSYN1_0127,pSHPs0826B426849MU-H9
309,MMSYN1_0692,pSHPs0826B426850MU-A2
157,MMSYN1_0373,pSHPs0826B426850MU-B1
383,MMSYN1_0879,"pSHPs0826B426850MU-B2,pSHPs0807B412040MU-D3"
392,MMSYN1_0910_link_MMSYN1_0235,pSHPs0826B426850MU-B3
375,MMSYN1_0870,pSHPs0826B426850MU-C1
131,MMSYN1_0315_link_MMSYN1_0774,pSHPs0826B426850MU-C3
344,MMSYN1_0805,pSHPs0826B426850MU-D1
254,MMSYN1_0601,pSHPs0826B426850MU-D2
220,MMSYN1_0482_link_MMSYN1_0299,pSHPs0826B426850MU-D3
172,MMSYN1_0398,"pSHPs0826B426850MU-E1,pSHPs0826B426850MU-F1"
271,MMSYN1_0639,"pSHPs0826B426850MU-E2,pSHPs0807B412040MU-D4,pSHPs0807B412040MU-E4"
371,MMSYN1_0851_link_MMSYN1_0379,pSHPs0826B426850MU-E3
366,MMSYN1_0836,pSHPs0826B426850MU-F2
266,MMSYN1_0621_link_MMSYN1_0294,pSHPs0826B426850MU-F3
221,MMSYN1_0493,pSHPs0826B426850MU-G1
36,MMSYN1_0081,pSHPs0826B426850MU-G2
281,MMSYN1_0649_link_MMSYN1_0830,pSHPs0826B426850MU-G3
15,MMSYN1_0030,pSHPs0826B426850MU-H1
339,MMSYN1_0797_link_MMSYN1_0317,pSHPs0826B426850MU-H3